"Subscricao","Recursos","departamento","ambiente","projeto","centrocusto"
"Power Automate R&D Testing","0","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-prd-sub001","246","1 (0%)","1 (0%)","1 (0%)","1 (0%)"
"PLANAPP-shared-fabric-sub001","3","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-nprd-sub001","191","39 (20%)","32 (17%)","32 (17%)","30 (16%)"
"PLANAPP-temp-azure-sub001","4","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-shared-backup-sub001","1","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Azure-CRC-Bare-Metal","0","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-shared-datagov-sub001","1","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Microsoft Azure Enterprise","0","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-EA-sub001","0","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"PLANAPP-hub-sub001","99","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"HNLI-DEV","0","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
